GEOID;Population;Year
0801908042;1291;2015
0801908043;1144;2015
0801908044;1409;2015
0801908045;1692;2015
0801908046;1367;2015
0801908047;1547;2015
0801908048;1037;2015
0801908049;1238;2015
0801908050;1432;2015
0801908051;1349;2015
0801908052;851;2015
0801908053;1139;2015
0801908054;1672;2015
0801908055;1854;2015
0801908056;1441;2015
0801908057;1309;2015
0801908058;1620;2015
0801908059;999;2015
0801908060;1199;2015
0801908061;1667;2015
0801908062;1215;2015
0801908063;1147;2015
0801908064;1725;2015
0801908065;1691;2015
0801908066;1596;2015
0801908067;1599;2015
0801908068;1824;2015
0801908069;1454;2015
0801908070;1407;2015
0801908071;1616;2015
0801908072;1180;2015
0801908073;1604;2015
0801908074;1427;2015
0801908075;1825;2015
0801908076;1566;2015
0801908077;1430;2015
0801908078;1468;2015
0801908079;1404;2015
0801908080;1448;2015
0801908081;1537;2015
0801908082;1547;2015
0801908083;1258;2015
0801908084;1151;2015
0801908085;1432;2015
0801908086;1659;2015
0801908087;1250;2015
0801908088;1245;2015
0801908089;1233;2015
0801908090;1196;2015
0801908091;1157;2015
0801908092;1005;2015
0801908093;1240;2015
0801908094;1480;2015
0801908095;1076;2015
0801908096;1451;2015
0801908097;1334;2015
0801908098;1240;2015
0801908099;1307;2015
0801908100;1214;2015
0801908101;1691;2015
0801908102;1360;2015
0801908103;1495;2015
0801908104;1214;2015
0801908105;1616;2015
0801908106;1236;2015
0801908107;1771;2015
0801908108;1717;2015
0801908109;1010;2015
0801908110;1862;2015
0801908111;1568;2015
0801908112;1641;2015
0801908113;1708;2015
0801908114;1856;2015
0801908115;1610;2015
0801908116;1335;2015
0801908215;1433;2015
0801909001;2575;2015
0801909002;2175;2015
0801909003;2059;2015
0801909004;1706;2015
0801909005;1544;2015
0801909006;1227;2015
0801909007;1255;2015
0801909008;1892;2015
0801909009;1416;2015
0801909010;1780;2015
0801909011;1874;2015
0801909013;1873;2015
0801909014;1937;2015
0801909015;1782;2015
0801909016;1404;2015
0801909017;1462;2015
0801909018;1461;2015
0801909019;2361;2015
0801909020;1139;2015
0801909021;1359;2015
0801909022;1205;2015
0801909023;1213;2015
0801909024;1138;2015
0801909025;1165;2015
0801909026;1532;2015
0801909027;1374;2015
0801909028;1604;2015
0801909029;1179;2015
0801909030;1447;2015
0801909031;1168;2015
0801909032;1893;2015
0801909033;3093;2015
0801909034;1401;2015
0801909035;1574;2015
0801909036;1436;2015
0801909037;1363;2015
0801909038;1593;2015
0801909039;1567;2015
0801909040;1501;2015
0801909041;1415;2015
0801909042;1239;2015
0801909043;1327;2015
0801909044;1471;2015
0801909045;1425;2015
0801909046;1287;2015
0801909047;1475;2015
0801909048;1362;2015
0801909049;1289;2015
0801909050;1565;2015
0801909051;1203;2015
0801909052;1153;2015
0801909053;1505;2015
0801909054;1155;2015
0801909055;1698;2015
0801909056;1182;2015
0801909057;1537;2015
0801909058;1434;2015
0801909059;1350;2015
0801909060;1354;2015
0801909061;1673;2015
0801909062;1118;2015
0801909063;1153;2015
0801909064;1201;2015
0801909065;2010;2015
0801909066;1402;2015
0801909067;1387;2015
0801909068;1539;2015
0801909069;957;2015
0801909070;1794;2015
0801909071;1796;2015
0801909072;1503;2015
0801909073;1546;2015
0801909074;1580;2015
0801909075;1448;2015
0801909076;1412;2015
0801909077;1527;2015
0801909078;1485;2015
0801909079;1560;2015
0801909080;1332;2015
0801909081;1787;2015
0801909082;1912;2015
0801909083;1596;2015
0801909084;1689;2015
0801909085;1655;2015
0801909086;1414;2015
0801909087;1255;2015
0801909088;1933;2015
0801909089;1458;2015
0801909090;1608;2015
0801909091;1862;2015
0801909092;1984;2015
0801909093;1360;2015
0801909094;2029;2015
0801909095;2123;2015
0801909156;1253;2015
0801910001;1613;2015
0801910002;1717;2015
0801910003;1557;2015
0801910004;1487;2015
0801910005;1612;2015
0801910006;1760;2015
0801910007;1350;2015
0801910008;1705;2015
0801910009;1606;2015
0801910010;1703;2015
0801910011;1228;2015
0801910012;1807;2015
0801910013;1374;2015
0801910014;1467;2015
0801910015;1794;2015
0801910016;1278;2015
0801910017;1695;2015
0801910018;1376;2015
0801910019;1633;2015
0801910020;1466;2015
0801910021;1342;2015
0801910022;1297;2015
0801910023;1439;2015
0801910024;1480;2015
0801910025;1392;2015
0801910026;1532;2015
0801910027;1498;2015
0801910028;1808;2015
0801910029;1466;2015
0801910030;1697;2015
0801910031;1540;2015
0801910032;1464;2015
0801910033;897;2015
0801910034;1746;2015
0801910035;2066;2015
0801910036;1451;2015
0801910037;1154;2015
0801910038;1678;2015
0801910039;1743;2015
0801910040;1845;2015
0801910041;1564;2015
0801910042;2431;2015
0801910043;1836;2015
0801910044;1498;2015
0801910045;1282;2015
0801910046;1280;2015
0801910047;1856;2015
0801910048;1612;2015
0801910049;1298;2015
0801910050;1615;2015
0801910051;1569;2015
